"","hour","wday","type","n"
"1",0,"Friday","Lyft",243525
"2",0,"Friday","Uber",809884
"3",0,"Friday","Via",28960
"4",0,"Monday","Lyft",198294
"5",0,"Monday","Uber",610848
"6",0,"Monday","Via",17374
"7",0,"Saturday","Lyft",397000
"8",0,"Saturday","Uber",1271771
"9",0,"Saturday","Via",49804
"10",0,"Sunday","Lyft",456128
"11",0,"Sunday","Uber",1424105
"12",0,"Sunday","Via",54038
"13",0,"Thursday","Lyft",195462
"14",0,"Thursday","Uber",664006
"15",0,"Thursday","Via",22603
"16",0,"Tuesday","Lyft",153214
"17",0,"Tuesday","Uber",513040
"18",0,"Tuesday","Via",15532
"19",0,"Wednesday","Lyft",173668
"20",0,"Wednesday","Uber",586444
"21",0,"Wednesday","Via",19405
"22",1,"Friday","Lyft",153815
"23",1,"Friday","Uber",500473
"24",1,"Friday","Via",16011
"25",1,"Monday","Lyft",127828
"26",1,"Monday","Uber",385036
"27",1,"Monday","Via",9796
"28",1,"Saturday","Lyft",323207
"29",1,"Saturday","Uber",958576
"30",1,"Saturday","Via",34438
"31",1,"Sunday","Lyft",389307
"32",1,"Sunday","Uber",1137372
"33",1,"Sunday","Via",40418
"34",1,"Thursday","Lyft",116623
"35",1,"Thursday","Uber",394023
"36",1,"Thursday","Via",11353
"37",1,"Tuesday","Lyft",89880
"38",1,"Tuesday","Uber",299356
"39",1,"Tuesday","Via",7786
"40",1,"Wednesday","Lyft",104966
"41",1,"Wednesday","Uber",345330
"42",1,"Wednesday","Via",9712
"43",2,"Friday","Lyft",101260
"44",2,"Friday","Uber",325441
"45",2,"Friday","Via",9426
"46",2,"Monday","Lyft",88229
"47",2,"Monday","Uber",255724
"48",2,"Monday","Via",5792
"49",2,"Saturday","Lyft",247139
"50",2,"Saturday","Uber",719634
"51",2,"Saturday","Via",23396
"52",2,"Sunday","Lyft",285527
"53",2,"Sunday","Uber",828841
"54",2,"Sunday","Via",25549
"55",2,"Thursday","Lyft",74976
"56",2,"Thursday","Uber",249579
"57",2,"Thursday","Via",6455
"58",2,"Tuesday","Lyft",55958
"59",2,"Tuesday","Uber",186458
"60",2,"Tuesday","Via",4417
"61",2,"Wednesday","Lyft",66052
"62",2,"Wednesday","Uber",219382
