"","day","d.med"
"1","2018-01-01",14.1666666666667
"2","2018-01-02",15
"3","2018-01-03",15.9833333333333
"4","2018-01-04",15.1
"5","2018-01-05",16.4666666666667
"6","2018-01-06",15.2333333333333
"7","2018-01-07",14.7166666666667
"8","2018-01-08",16.9166666666667
"9","2018-01-09",17.2
"10","2018-01-10",17.1333333333333
"11","2018-01-11",17.55
"12","2018-01-12",17.2166666666667
"13","2018-01-13",15.6166666666667
"14","2018-01-14",14.55
"15","2018-01-15",14.4833333333333
"16","2018-01-16",16.3166666666667
"17","2018-01-17",15.7666666666667
"18","2018-01-18",16.6
"19","2018-01-19",16.6
"20","2018-01-20",16.05
"21","2018-01-21",15.0833333333333
"22","2018-01-22",15.8333333333333
"23","2018-01-23",15.9833333333333
"24","2018-01-24",16.1666666666667
"25","2018-01-25",16.7833333333333
"26","2018-01-26",16.8166666666667
"27","2018-01-27",16.0833333333333
"28","2018-01-28",15.2833333333333
"29","2018-01-29",15.7833333333333
"30","2018-01-30",15.7833333333333
"31","2018-01-31",16.2
"32","2018-02-01",16.7
"33","2018-02-02",16.1
"34","2018-02-03",15.4
"35","2018-02-04",14.4333333333333
"36","2018-02-05",15.4833333333333
"37","2018-02-06",16.0833333333333
"38","2018-02-07",15.8666666666667
"39","2018-02-08",16.75
"40","2018-02-09",16.7666666666667
"41","2018-02-10",16.35
"42","2018-02-11",15.0166666666667
"43","2018-02-12",16.0833333333333
"44","2018-02-13",16.4666666666667
"45","2018-02-14",16.7666666666667
"46","2018-02-15",17.1166666666667
"47","2018-02-16",16.8666666666667
"48","2018-02-17",15.7
"49","2018-02-18",14.8
"50","2018-02-19",14.8166666666667
"51","2018-02-20",16.45
"52","2018-02-21",16.95
"53","2018-02-22",16.7666666666667
"54","2018-02-23",16.7833333333333
"55","2018-02-24",16.3666666666667
"56","2018-02-25",15.1333333333333
"57","2018-02-26",16.3333333333333
"58","2018-02-27",16.8166666666667
"59","2018-02-28",17.05
"60","2018-03-01",16.8
"61","2018-03-02",15.5333333333333
"62","2018-03-03",16.0833333333333
"63","2018-03-04",15.3166666666667
"64","2018-03-05",16.05
"65","2018-03-06",17.0666666666667
"66","2018-03-07",13.4666666666667
"67","2018-03-08",16.5833333333333
"68","2018-03-09",17.7
"69","2018-03-10",16.5666666666667
"70","2018-03-11",15.9
"71","2018-03-12",16.6333333333333
"72","2018-03-13",15.5833333333333
"73","2018-03-14",17
"74","2018-03-15",17.6
"75","2018-03-16",17.5666666666667
"76","2018-03-17",16.4333333333333
"77","2018-03-18",15.8333333333333
"78","2018-03-19",16.4166666666667
"79","2018-03-20",16.75
"80","2018-03-21",12.5
"81","2018-03-22",15.8666666666667
"82","2018-03-23",17.7333333333333
"83","2018-03-24",16.8833333333333
