"","hour","d.med"
"1","0",18.1616680191682
"2","1",17.1917916123006
"3","2",16.648678940274
"4","3",16.8683387482834
"5","4",17.9261897001549
"6","5",19.4219953975962
"7","6",20.4830800447497
"8","7",20.893221166212
"9","8",21.1764813627335
"10","9",20.5648165759468
"11","10",20.2561218484046
"12","11",20.5856498079571
"13","12",20.9463464844602
"14","13",21.5198747836137
"15","14",23.0028555856265
"16","15",24.0135396360275
"17","16",24.0575600680697
"18","17",22.9749630567786
"19","18",21.0828227967029
"20","19",19.5222715597842
"21","20",19.102030515606
"22","21",19.1379303419789
"23","22",19.1795269939201
"24","23",18.9775430212598
