"","wday","type","d.med"
"1","Friday","Lyft",22.2269299194843
"2","Friday","Uber",21.2190146474577
"3","Friday","Via",21.9757627745158
"4","Monday","Lyft",21.0671793192483
"5","Monday","Uber",19.732717894191
"6","Monday","Via",19.5761670665286
"7","Saturday","Lyft",20.1428366707315
"8","Saturday","Uber",19.4636417544738
"9","Saturday","Via",20.7600728042548
"10","Sunday","Lyft",19.6695520486734
"11","Sunday","Uber",18.7480979199411
"12","Sunday","Via",19.431615920565
"13","Thursday","Lyft",22.7907562165364
"14","Thursday","Uber",21.6986919412058
"15","Thursday","Via",22.3528464482909
"16","Tuesday","Lyft",21.5426115109377
"17","Tuesday","Uber",20.5222482955638
"18","Tuesday","Via",20.9460850339501
"19","Wednesday","Lyft",21.751421822909
"20","Wednesday","Uber",20.7341780731557
"21","Wednesday","Via",21.4275255694274
