year,month,day,temp,max,min,visib,wdsp,mxpsd,gust,prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,date_of_year
2015,1,1,31.4,39.0,27.0,10.0,5.3,9.9,25.1,0.0,0.0,0,0,0,0,0,2015-01-01
2015,1,2,38.7,42.1,27.0,10.0,7.0,9.9,20.0,0.0,0.0,0,0,0,0,0,2015-01-02
2015,1,3,35.5,42.1,33.1,7.6,5.0,8.9,14.0,0.0,0.0,0,1,1,0,0,2015-01-03
2015,1,4,45.4,55.9,33.1,5.8,5.1,8.9,19.0,0.89,0.0,0,1,0,0,0,2015-01-04
2015,1,5,40.9,55.9,28.9,9.7,9.7,15.9,40.0,0.12,0.0,0,1,0,0,0,2015-01-05
2015,1,6,21.0,27.0,19.0,7.3,4.2,9.9,22.0,0.0,0.0,0,0,1,0,0,2015-01-06
2015,1,7,20.7,23.0,15.1,9.7,9.5,15.9,29.9,0.05,0.0,0,0,0,0,0,2015-01-07
2015,1,8,13.0,23.0,8.1,10.0,8.8,18.1,31.1,0.0,1.2,0,0,0,0,0,2015-01-08
2015,1,9,24.9,33.1,16.0,8.7,7.4,14.0,21.0,0.0,0.0,0,0,1,0,0,2015-01-09
2015,1,10,21.1,33.1,16.0,10.0,7.5,15.0,20.0,0.07,0.0,0,0,0,0,0,2015-01-10
2015,1,11,25.7,37.0,16.0,10.0,5.5,9.9,20.0,0.0,1.2,0,0,0,0,0,2015-01-11
2015,1,12,36.9,37.9,35.1,6.6,3.3,8.9,15.0,0.01,1.2,0,1,0,0,0,2015-01-12
2015,1,13,29.5,39.0,19.0,9.8,7.3,14.0,19.0,0.35,0.0,0,1,0,0,0,2015-01-13
2015,1,14,22.8,36.0,16.0,10.0,6.4,11.1,15.0,0.0,0.0,0,0,0,0,0,2015-01-14
2015,1,15,29.5,34.0,25.0,10.0,3.6,8.0,0.0,0.0,0.0,0,0,0,0,0,2015-01-15
2015,1,16,33.4,43.0,25.0,9.5,7.3,13.0,25.1,0.0,0.0,0,0,0,0,0,2015-01-16
2015,1,17,22.2,43.0,17.1,10.0,6.5,15.9,26.0,0.0,0.0,0,0,0,0,0,2015-01-17
