date_of_year,temp,max,min,visib,wdsp,mxpsd,gust,prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder
2016-01-24,26.7,35.1,19.9,7.4,6.3,17.1,26.0,1.82,5.9,1,0,1,0,0
2016-01-23,26.2,30.0,21.0,1.7,12.8,20.0,36.9,0.5,0.0,1,0,1,0,0
2016-04-05,33.0,42.1,26.1,10.0,7.9,13.0,24.1,0.46,0.0,0,0,0,0,0
2016-04-06,37.9,48.0,26.1,10.0,4.9,14.0,24.1,0.0,0.0,0,0,0,0,0
2016-04-07,52.4,57.9,30.0,9.3,5.8,11.1,22.9,0.0,0.0,0,1,0,0,0
2016-04-08,47.3,57.9,42.1,10.0,6.7,11.1,25.1,0.09,0.0,0,0,0,0,0
2016-04-09,40.0,50.0,36.0,9.1,4.9,8.9,15.9,0.01,0.0,0,1,0,0,0
2016-04-10,39.6,50.0,30.9,10.0,4.4,8.0,17.1,0.11,0.0,0,0,0,0,0
2016-04-11,50.9,64.9,30.9,9.3,5.6,9.9,18.1,0.0,0.0,0,1,0,0,0
2016-04-12,54.0,64.9,43.0,9.1,5.3,8.9,22.0,0.04,0.0,0,1,0,0,0
2016-04-13,47.7,59.0,39.9,10.0,4.1,12.0,18.1,0.17,0.0,0,0,0,0,0
2016-04-14,50.5,62.1,43.0,10.0,4.9,9.9,17.1,0.0,0.0,0,0,0,0,0
2016-04-15,51.7,64.9,42.1,10.0,3.5,9.9,15.0,0.0,0.0,0,0,0,0,0
2016-04-16,53.2,68.0,42.1,10.0,4.5,9.9,17.1,0.0,0.0,0,0,0,0,0
2016-04-17,56.1,75.0,43.0,10.0,2.3,8.0,8.0,0.0,0.0,0,0,0,0,0
2016-04-18,63.8,82.0,44.1,10.0,2.8,8.9,8.9,0.0,0.0,0,0,0,0,0
2016-04-19,66.3,82.0,51.1,10.0,6.4,12.0,24.1,0.0,0.0,0,0,0,0,0
2016-04-20,58.5,73.0,48.9,10.0,5.8,11.1,15.9,0.0,0.0,0,0,0,0,0
2016-04-21,59.5,73.0,48.9,10.0,4.8,13.0,18.1,0.0,0.0,0,0,0,0,0
2016-04-22,70.3,79.0,48.9,9.7,3.6,7.0,7.0,0.0,0.0,0,0,0,0,0
2016-04-23,65.6,79.0,60.1,8.2,5.6,12.0,19.0,0.15,0.0,0,1,0,0,0
2016-04-24,56.2,71.1,46.9,10.0,6.2,9.9,22.0,0.01,0.0,0,0,0,0,0
2016-04-25,58.0,69.1,46.9,10.0,3.6,7.0,7.0,0.0,0.0,0,0,0,0,0
2016-04-26,54.9,69.1,48.9,6.8,5.2,8.9,15.9,0.17,0.0,0,1,0,0,0
2016-04-27,51.3,62.1,46.0,9.8,4.3,8.9,15.9,0.07,0.0,0,0,0,0,0
2016-04-28,52.6,62.1,46.0,9.9,4.8,9.9,15.0,0.0,0.0,0,0,0,0,0
2016-04-29,51.4,59.0,46.9,10.0,4.3,8.9,15.0,0.0,0.0,0,1,0,0,0
2016-04-30,52.7,64.9,45.0,9.9,4.9,8.0,8.0,0.05,0.0,0,1,0,0,0
2016-05-01,49.0,64.9,46.0,7.9,4.0,9.9,15.9,0.0,0.0,0,1,0,0,0
2016-05-02,50.1,59.0,44.6,5.0,2.2,8.0,8.0,0.16,0.0,0,0,0,0,0
2016-05-03,53.3,60.1,45.0,5.2,5.1,8.9,15.0,0.59,0.0,0,1,0,0,0
2016-05-04,50.4,55.9,48.0,7.7,6.3,12.0,21.0,0.07,0.0,0,1,0,0,0
2016-05-05,50.9,57.0,46.0,9.5,7.5,11.1,18.1,0.01,0.0,0,0,0,0,0
2016-05-06,50.7,57.0,46.0,7.8,7.8,15.0,24.1,0.24,0.0,1,1,0,0,0
2016-05-07,52.2,60.1,48.0,7.5,4.8,8.0,15.0,0.3,0.0,0,0,0,0,0
2016-05-08,55.6,66.0,48.9,8.1,3.7,14.0,27.0,0.11,0.0,0,1,0,0,0
2016-05-09,61.8,72.0,48.9,10.0,3.5,8.9,20.0,0.05,0.0,0,0,0,0,0
2016-05-10,57.6,72.0,50.0,10.0,4.5,11.1,20.0,0.0,0.0,0,0,0,0,0
2016-05-11,62.4,75.9,50.0,10.0,2.8,7.0,7.0,0.0,0.0,0,0,0,0,0
2016-05-12,66.5,80.1,50.0,10.0,2.5,8.0,8.0,0.0,0.0,0,0,0,0,0
2016-05-13,61.0,64.9,57.9,10.0,2.5,2.5,2.5,0.0,0.0,0,0,0,0,0
2016-05-14,63.5,71.6,56.3,10.0,2.5,2.5,2.5,0.25,0.0,0,0,0,0,0
2016-05-15,54.6,60.8,50.0,10.0,2.5,2.5,2.5,0.0,0.0,0,0,0,0,0
2016-05-16,52.5,66.2,42.8,10.0,2.5,2.5,2.5,0.0,0.0,0,0,0,0,0
2016-05-17,59.1,64.4,55.4,9.9,3.5,5.1,5.1,0.0,0.0,0,0,0,0,0
2016-05-18,57.8,68.0,51.8,9.9,3.5,3.5,3.5,0.0,0.0,0,0,0,0,0
2016-05-19,60.3,73.0,54.0,10.0,1.2,7.0,7.0,0.0,0.0,0,0,0,0,0
2016-05-20,63.4,75.9,53.1,10.0,3.1,8.0,8.0,0.0,0.0,0,0,0,0,0
2016-05-21,61.7,75.9,53.1,9.8,3.1,8.0,8.0,0.0,0.0,0,1,0,0,0
2016-05-22,59.7,70.0,52.0,9.7,3.7,8.9,8.9,0.13,0.0,0,1,0,0,0
2016-05-23,64.4,78.1,52.0,9.2,1.9,6.0,6.0,0.09,0.0,0,1,0,0,0
2016-05-24,63.9,78.1,55.9,7.9,2.3,6.0,6.0,0.17,0.0,0,1,0,0,0
2016-05-25,73.2,88.0,57.9,9.0,3.0,6.0,6.0,0.03,0.0,0,0,0,0,0
2016-05-26,79.3,90.0,61.0,8.3,3.3,6.0,6.0,0.0,0.0,0,0,0,0,0
2016-05-27,78.1,90.0,69.1,7.5,3.1,8.0,15.9,0.0,0.0,0,0,0,0,0
2016-05-28,79.6,90.0,71.1,7.7,4.4,7.0,15.0,0.0,0.0,0,0,0,0,0
2016-05-29,77.9,91.9,71.1,9.0,4.2,8.0,19.0,0.0,0.0,0,0,0,0,0
2016-05-30,73.0,87.1,68.0,7.2,2.6,6.0,6.0,1.65,0.0,1,1,0,0,0
2016-05-31,76.0,84.9,68.0,8.6,3.6,6.0,6.0,0.0,0.0,0,0,0,0,0
2016-06-01,75.3,84.9,69.1,8.3,4.6,8.9,8.9,0.0,0.0,0,0,0,0,0
2016-06-02,68.4,82.9,62.1,7.8,4.4,7.0,7.0,0.0,0.0,0,0,0,0,0
2016-06-03,65.4,78.1,62.1,5.9,1.5,7.0,7.0,0.01,0.0,0,1,0,0,0
2016-06-04,72.4,82.9,63.0,6.4,2.1,7.0,7.0,0.03,0.0,0,1,0,0,0
2016-06-05,67.5,70.0,64.4,5.4,3.5,13.0,33.0,0.4,0.0,1,1,0,0,0
2016-06-06,72.6,82.9,64.9,7.5,4.5,8.9,15.0,0.91,0.0,0,0,0,0,0
2016-06-07,76.4,84.9,64.9,8.7,4.4,8.9,15.9,0.0,0.0,0,0,0,0,0
2016-06-08,61.8,84.9,52.0,8.7,6.2,11.1,22.9,0.0,0.0,0,1,0,0,0
2016-06-09,61.7,71.1,52.0,9.7,8.0,14.0,26.0,0.45,0.0,0,0,0,0,0
2016-06-10,66.2,77.0,54.0,10.0,5.7,9.9,20.0,0.0,0.0,0,0,0,0,0
2016-06-11,72.1,88.0,57.0,9.6,2.5,8.9,18.1,0.0,0.0,0,0,0,0,0
2016-06-12,79.4,88.0,59.0,9.7,5.6,9.9,21.0,0.0,0.0,0,0,0,0,0
2016-06-13,64.9,82.9,57.0,10.0,7.1,9.9,26.0,0.0,0.0,0,0,0,0,0
2016-06-14,68.0,79.0,57.0,10.0,4.1,7.0,7.0,0.0,0.0,0,0,0,0,0
2016-06-15,73.2,84.9,57.9,10.0,2.2,5.1,5.1,0.0,0.0,0,0,0,0,0
2016-06-16,70.6,84.9,62.1,7.2,1.5,5.1,5.1,0.2,0.0,0,1,0,0,0
2016-06-17,70.2,75.9,64.0,9.1,3.5,11.1,11.1,0.02,0.0,0,0,0,0,0
2016-06-18,71.3,87.1,61.0,9.8,2.8,5.1,5.1,0.0,0.0,0,0,0,0,0
2016-06-19,74.2,88.0,61.0,9.4,2.0,7.0,17.1,0.0,0.0,0,0,0,0,0
2016-06-20,72.8,88.0,64.0,8.9,2.9,8.0,8.0,0.0,0.0,0,0,0,0,0
2016-06-21,79.2,87.1,64.0,9.4,4.3,8.9,17.1,0.0,0.0,0,1,0,0,0
2016-06-22,77.2,87.1,68.0,9.8,4.1,11.1,22.0,0.0,0.0,0,0,0,0,0
2016-06-23,75.2,86.0,68.0,9.0,1.5,5.1,5.1,0.0,0.0,0,0,0,0,0
2016-06-24,74.6,84.0,69.1,8.8,4.8,12.0,17.1,0.0,0.0,0,0,0,0,0
2016-06-25,73.1,86.0,64.0,9.2,3.7,7.0,7.0,0.0,0.0,0,0,0,0,0
2016-06-26,74.7,86.0,64.0,9.0,1.4,6.0,6.0,0.0,0.0,0,0,0,0,0
2016-06-27,74.3,87.1,66.9,9.2,4.5,9.9,15.9,0.0,0.0,0,0,0,0,0
2016-06-28,71.1,82.9,66.9,5.7,2.9,6.0,6.0,0.54,0.0,0,1,0,0,0
2016-06-29,73.9,82.9,66.9,7.5,1.9,7.0,7.0,0.04,0.0,0,1,0,0,0
2016-06-30,75.7,84.9,66.9,10.0,2.2,5.1,5.1,0.01,0.0,0,0,0,0,0
2016-01-01,40.4,48.0,37.0,10.0,6.5,12.0,22.9,0.03,0.0,0,0,0,0,0
2016-01-02,35.8,42.1,32.0,10.0,6.0,12.0,18.1,0.0,0.0,0,0,0,0,0
2016-01-03,38.4,45.0,32.0,10.0,6.4,9.9,21.0,0.0,0.0,0,0,0,0,0
2016-01-04,30.8,39.0,19.9,10.0,7.0,11.1,22.0,0.0,0.0,0,0,0,0,0
2016-01-05,18.4,36.0,10.9,10.0,6.2,12.0,22.0,0.0,0.0,0,0,0,0,0
2016-01-06,31.2,41.0,10.9,10.0,2.4,7.0,7.0,0.0,0.0,0,0,0,0,0
2016-01-07,37.9,46.0,25.0,10.0,2.9,8.0,8.0,0.0,0.0,0,0,0,0,0
2016-01-08,40.2,44.6,35.6,10.0,4.3,8.9,8.9,0.0,0.0,0,0,0,0,0
2016-01-09,43.3,46.4,39.9,9.3,7.4,11.1,18.1,0.0,0.0,0,1,0,0,0
2016-01-10,50.4,59.0,39.9,5.3,8.2,15.9,26.0,0.77,0.0,0,1,0,0,0
2016-01-11,35.2,59.0,28.9,10.0,9.4,13.0,28.0,1.03,0.0,0,0,0,0,0
2016-01-12,32.2,44.1,25.0,10.0,4.6,9.9,24.1,0.0,0.0,0,0,0,0,0
2016-01-13,27.1,44.1,21.9,10.0,9.4,18.1,29.9,0.0,0.0,0,0,0,0,0
2016-01-14,27.9,37.0,21.9,10.0,5.1,8.9,17.1,0.0,0.0,0,0,0,0,0
